date,number
August 2019,49.10
September 2019,48.20
October 2019,48.50
November 2019,48.10
December 2019,47.80
January 2020,50.90
February 2020,50.10
March 2020,49.10
April 2020,41.50
May 2020,43.10
June 2020,52.60
July 2020,54.20
August 2020,56.00
September 2020,55.70
October 2020,58.80
November 2020,57.50
December 2020,60.50
January 2021,58.70
February 2021,60.80
March 2021,64.70
April 2021,60.70
May 2021,61.20
June 2021,60.60
July 2021,59.50
August 2021,59.90
September 2021,60.50
October 2021,60.80
November 2021,60.60
December 2021,58.80
January 2022,57.60
February 2022,58.60
March 2022,57.10
April 2022,55.40
May 2022,56.10
June 2022,53.00
July 2022,52.80
August 2022,52.80
September 2022,50.90
October 2022,50.20
November 2022,49.00
December 2022,48.40
January 2023,47.40
February 2023,47.70
March 2023,46.30
April 2023,47.10
May 2023,46.90
